         4502012 function calls (4491405 primitive calls) in 32.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2247    0.003    0.000    0.039    0.000 __init__.py:2501(_get_metadata)
    15000    0.003    0.000    0.003    0.000 _PoseArray.py:251(_get_struct_4d)
      334    0.003    0.000    0.017    0.000 __init__.py:1859(get_metadata)
     1035    0.003    0.000    0.010    0.000 ElementPath.py:283(find)
        1    0.003    0.003    0.080    0.080 _continuous_distns.py:5(<module>)
      110    0.003    0.000    0.014    0.000 six.py:209(exec_)
        3    0.003    0.001    0.182    0.061 __init__.py:15(<module>)
      992    0.003    0.000    0.006    0.000 version.py:236(__str__)
     1523    0.003    0.000    0.008    0.000 names.py:163(resolve_name)
      498    0.003    0.000    0.006    0.000 __init__.py:738(add)
        1    0.003    0.003    0.028    0.028 __init__.py:101(<module>)
        1    0.003    0.003    0.003    0.003 Tkinter.py:31(<module>)
     7000    0.003    0.000    0.003    0.000 kalman_filter.py:45(update_cov)
    15000    0.003    0.000    0.003    0.000 _PoseArray.py:257(_get_struct_3d)
     1523    0.003    0.000    0.004    0.000 names.py:64(canonicalize_name)
  635/181    0.003    0.000    0.051    0.000 sre_parse.py:317(_parse_sub)
     3890    0.003    0.000    0.003    0.000 version.py:207(<genexpr>)
      878    0.003    0.000    0.004    0.000 inspect.py:744(getargs)
     1035    0.003    0.000    0.043    0.000 <string>:23(parse)
     1004    0.003    0.000    0.056    0.000 topics.py:514(__init__)
       22    0.003    0.000    0.012    0.001 __init__.py:1012(_rc_params_in_file)
    14316    0.003    0.000    0.003    0.000 {method 'startswith' of 'unicode' objects}
      992    0.003    0.000    0.037    0.000 __init__.py:1381(safe_version)
     2003    0.003    0.000    0.007    0.000 __init__.py:2165(yield_lines)
      501    0.002    0.000    0.003    0.000 buffer.py:48(__init__)
     1035    0.002    0.000    0.003    0.000 ElementPath.py:247(iterfind)
     3756    0.002    0.000    0.013    0.000 fromnumeric.py:1892(any)
    10778    0.002    0.000    0.004    0.000 mathtext.py:2596(<genexpr>)
       91    0.002    0.000    0.003    0.000 pyparsing.py:2266(__init__)
        2    0.002    0.001    0.018    0.009 pyparsing.py:58(<module>)
      934    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
        1    0.002    0.002    0.003    0.003 Image.py:27(<module>)
        6    0.002    0.000    0.007    0.001 lookup.py:195(merge)
       11    0.002    0.000    0.007    0.001 artist.py:1100(_get_setters_and_targets)
     1035    0.002    0.000    0.012    0.000 {built-in method find}
     1035    0.002    0.000    0.002    0.000 {_elementtree.XMLParser}
    12534    0.002    0.000    0.002    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.002    0.002    0.020    0.020 _axes.py:1(<module>)
      501    0.002    0.000    0.051    0.000 transform_listener.py:41(__init__)
      348    0.002    0.000    0.002    0.000 {method 'splitlines' of 'unicode' objects}
        1    0.002    0.002    0.013    0.013 widgets.py:10(<module>)
        1    0.002    0.002    0.364    0.364 particle_filter.py:2(<module>)
      498    0.002    0.000    0.024    0.000 __init__.py:2344(__init__)
     2292    0.002    0.000    0.002    0.000 {hasattr}
     4830    0.002    0.000    0.003    0.000 stat.py:40(S_ISDIR)
        1    0.002    0.002    0.159    0.159 __init__.py:335(<module>)
      878    0.002    0.000    0.008    0.000 inspect.py:804(getargspec)
        1    0.002    0.002    0.007    0.007 dates.py:111(<module>)
